magnitud,lugar,lat,lon,profundidad,fecha,tipo
2.026373833465009,"25 km WSW of Anchor Point, Alaska",59.73150634765625,-152.27984619140625,75.7306900024414,2025-12-01 14:42,Terremoto
2.0,"58 km NW of Toyah, Texas",31.653,-104.264,7.4841,2025-12-01 14:25,Terremoto
4.1,"249 km E of Levuka, Fiji",-17.9379,-178.3336,603.374,2025-12-01 14:25,Terremoto
2.1226894650123,"25 km NNW of Karluk, Alaska",57.76666641235352,-154.66387939453125,61.24702453613281,2025-12-01 13:42,Terremoto
2.1139406228392903,"50 km W of Tyonek, Alaska",61.11462020874023,-152.0745086669922,110.28388214111328,2025-12-01 13:26,Terremoto
2.42,"5 km SW of Packwood, Washington",46.56783333333333,-121.7215,10.57,2025-12-01 12:56,Terremoto
4.3,"104 km NNE of Tobelo, Indonesia",2.6442,128.2311,69.473,2025-12-01 12:19,Terremoto
4.6,"240 km SSW of Colonia, Micronesia",7.6565,136.9888,10.0,2025-12-01 12:10,Terremoto
4.8,"137 km ESE of Petropavlovsk-Kamchatsky, Russia",52.7798,160.6167,33.212,2025-12-01 11:07,Terremoto
2.9175440797063863,"100 km SSE of Chignik, Alaska",55.51546096801758,-157.5772247314453,5.0,2025-12-01 10:50,Terremoto
3.7,"256 km W of Adak, Alaska",52.059,179.6384,133.018,2025-12-01 10:32,Terremoto
3.0793511296168137,"17 km NW of Trapper Creek, Alaska",62.43320846557617,-150.4482421875,59.40336608886719,2025-12-01 10:06,Terremoto
2.4,"11 km NNW of El Moro, Colorado",37.3185,-104.5089,4.609,2025-12-01 09:38,Terremoto
2.1062695411974137,"13 km NW of Tatitlek, Alaska",60.95810317993164,-146.85012817382812,22.269744873046875,2025-12-01 09:37,Terremoto
2.543402459206193,"13 km NW of Tatitlek, Alaska",60.94688034057617,-146.86114501953125,17.305652618408203,2025-12-01 09:30,Terremoto
4.2,"41 km W of Ollagüe, Chile",-21.1968,-68.6508,110.794,2025-12-01 09:29,Terremoto
3.0103701362618973,"36 km ENE of Pedro Bay, Alaska",59.91510009765625,-153.50323486328125,116.2576141357422,2025-12-01 09:12,Terremoto
2.17,"11 km NW of Volcano, Hawaii",19.5223333333333,-155.302833333333,5.78,2025-12-01 09:02,Terremoto
2.98,"14 km N of Arecibo, Puerto Rico",18.6035,-66.7318333333333,66.0,2025-12-01 07:44,Terremoto
3.9,"101 km SW of Adak, Alaska",51.1848,-177.5972,43.251,2025-12-01 07:29,Terremoto
2.93,"6 km WSW of Kenwood, CA",38.3855,-122.610333333333,1.84,2025-12-01 07:14,Terremoto
2.567549509994006,"56 km ENE of Pedro Bay, Alaska",59.9697494506836,-153.1702117919922,135.21728515625,2025-12-01 07:05,Terremoto
2.052117494295934,"29 km WNW of Salamatof, Alaska",60.68887329101562,-151.8435516357422,93.447265625,2025-12-01 06:52,Terremoto
2.1,"32 km NW of Toyah, Texas",31.529,-104.021,7.5739,2025-12-01 06:48,Terremoto
4.7,"58 km S of Aitape, Papua New Guinea",-3.6559,142.2554,35.0,2025-12-01 05:40,Terremoto
2.108618223215602,"24 km SSW of Susitna, Alaska",61.33779525756836,-150.66656494140625,61.30211639404297,2025-12-01 05:21,Terremoto
2.07,"57 km WSW of Gold Beach, Oregon",42.295833333333334,-125.1025,4.83,2025-12-01 05:20,Terremoto
3.1,"6 km WSW of Kenwood, CA",38.391,-122.612,4.9,2025-12-01 05:06,Terremoto
2.1369626748744177,"90 km NW of Aleneva, Alaska",58.68619537353516,-153.88514709472656,81.41462707519531,2025-12-01 05:04,Terremoto
2.111341733758048,"55 km E of Pedro Bay, Alaska",59.74103546142578,-153.1167449951172,104.02449035644531,2025-12-01 04:50,Terremoto
2.14,"5 km ESE of La Parguera, Puerto Rico",17.9523333333333,-66.9986666666667,13.31,2025-12-01 04:42,Terremoto
